cod_alumno,Nombre y Apellidos,Lenguaje,Matemáticas,Inglés,Ciencias,Sociales
482913,Ana López García,7,8,6,7,8
619427,Luis Martín Pérez,5,9,7,6,7
735802,María Sánchez Ruiz,8,6,8,9,9
582194,Jorge Díaz Hernández,6,7,5,6,5
908376,Lucía Gómez Ortega,9,9,9,8,9
317568,Carlos Romero Torres,4,6,5,5,6
246819,Elena Navarro Castillo,10,8,9,10,9
150983,Pablo Molina Santos,5,4,6,5,5
865432,Marta Vega Ibáñez,7,7,7,8,8
403291,Sergio Ortega León,6,5,6,6,6
951674,Laura Núñez Campos,8,7,9,8,9
739185,Hugo Moreno Fuentes,3,6,4,5,5
628047,Paula Cruz Cabrera,9,8,7,9,9
214956,Daniel Reyes Lozano,5,5,6,4,5
875320,Irene Flores Soler,7,9,8,7,8
563401,Adrián Vázquez Vidal,6,7,7,6,7
392817,Natalia Rubio Serrano,8,6,7,8,7
456903,Diego Guerrero Parra,4,5,5,4,5
987612,Sofía Santana Bravo,9,10,8,9,10
134205,Rubén Castillo Rivas,6,6,5,7,6
302964,Noelia Paredes Calvo,7,8,9,7,8
821479,Iván Campos Benítez,5,7,6,6,6
678293,Claudia Martín Soria,8,9,9,8,9
590834,Raúl Iglesias Montoya,3,4,5,4,4
720185,Patricia Lozano Arias,7,6,8,7,8
186457,Óscar Cabrera Luque,6,8,6,5,6
257918,Nuria Vicente Castaño,9,7,10,9,10
679402,Alberto Gallego Recio,5,6,4,6,5
482016,Alicia Roldán Cuesta,8,8,7,8,8
940183,Víctor Peña Barrios,6,5,5,6,6
105982,Beatriz Corral Pino,10,9,8,10,10
379524,Felipe Domínguez Solís,4,6,6,5,6
812693,Sara Márquez Padilla,8,7,8,9,9
648210,Javier Franco Ariño,5,5,6,5,5
732945,Celia Caballero Moya,9,8,9,9,9
198347,Mario Lafuente Alba,6,7,6,6,7
569102,Patricia Mora Aguilar,7,6,7,8,7
450987,Gonzalo Prieto Salas,2,4,3,4,4
376581,Elisa Ferrer Vela,8,9,8,7,8
821693,Tomás Rivero Valdés,6,7,5,6,6
